Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
62,Miles Bridges\bridgmi02,SF,21,CHO,56,1725,12.7,.535,.402,.173,4.7,15.3,9.8,9.3,1.0,2.1,10.8,19.7,,0.6,1.1,1.7,.047,,-1.5,-0.7,-2.1,-0.1
63,Oshae Brissett\brissos01,SF,21,TOR,19,135,6.7,.458,.417,.278,7.2,12.9,10.1,6.9,1.4,0.7,14.8,15.0,,-0.1,0.2,0.1,.045,,-4.3,-0.2,-4.5,-0.1
64,Ryan Broekhoff\broekry01,SG,29,DAL,17,180,13.3,.568,.864,.136,3.0,21.7,12.5,8.3,1.4,1.9,8.8,16.3,,0.2,0.2,0.4,.115,,0.2,-0.7,-0.5,0.1
65,Malcolm Brogdon\brogdma01,PG,27,IND,43,1327,17.5,.530,.305,.243,3.2,13.9,8.5,34.7,1.1,0.5,13.8,25.4,,1.6,1.2,2.9,.103,,1.7,-0.8,0.8,1.0
66,Dillon Brooks\brookdi01,SG,24,MEM,56,1585,11.5,.514,.385,.194,3.7,8.9,6.3,10.3,1.5,1.2,9.9,24.5,,-0.1,1.0,1.0,.029,,-1.3,-1.8,-3.1,-0.5
67,Bruce Brown\brownbr01,SG,23,DET,56,1572,11.9,.518,.215,.276,4.1,14.9,9.5,19.8,2.0,1.5,16.8,15.9,,0.7,1.4,2.1,.065,,-1.7,1.3,-0.4,0.6
68,Charlie Brown\brownch02,SG,22,ATL,10,40,11.1,.472,.474,.263,5.3,5.4,5.4,7.3,2.3,4.2,12.4,25.1,,0.0,0.0,0.0,-0.026,,-4.3,-2.0,-6.3,0.0
69,Jaylen Brown\brownja02,SF,23,BOS,46,1552,17.2,.595,.362,.284,3.5,16.8,10.2,10.1,1.6,0.8,12.4,24.6,,2.0,2.1,4.1,.128,,1.1,-0.4,0.7,1.0
70,Moses Brown\brownmo01,C,20,POR,9,33,6.8,.407,.000,.800,9.5,33.9,21.8,4.1,1.4,2.5,18.2,21.2,,-0.1,0.0,0.0,-0.061,,-10.2,-1.4,-11.5,-0.1
71,Sterling Brown\brownst02,SF,24,MIL,39,565,10.1,.494,.514,.178,4.8,19.8,12.8,8.3,1.7,0.9,13.8,16.9,,-0.2,1.2,1.0,.083,,-3.3,1.0,-2.3,0.0
